bigram,frequency,probability
حس,4862,0.00024177
بس,4835,0.00024043
صر,4830,0.00024018
كا,4826,0.00023998
کک,4811,0.00023924
غی,4756,0.0002365
حت,4756,0.0002365
حل,4739,0.00023566
ټي,4684,0.00023292
اځ,4634,0.00023044
ىد,4634,0.00023044
فل,4633,0.00023039
ښځ,4620,0.00022974
لى,4559,0.00022671
عي,4557,0.00022661
رق,4551,0.00022631
ظر,4539,0.00022571
ځد,4520,0.00022477
دډ,4506,0.00022407
څا,4480,0.00022278
لق,4475,0.00022253
نح,4464,0.00022199
ېګ,4420,0.0002198
کش,4419,0.00021975
رع,4415,0.00021955
کب,4382,0.00021791
تج,4355,0.00021657
يغ,4352,0.00021642
سخ,4350,0.00021632
ژن,4339,0.00021577
وى,4332,0.00021542
غړ,4328,0.00021522
اښ,4306,0.00021413
ه۱,4306,0.00021413
یډ,4293,0.00021348
قل,4293,0.00021348
یڅ,4289,0.00021329
ځت,4287,0.00021319
رئ,4274,0.00021254
وض,4255,0.0002116
څې,4240,0.00021085
څل,4224,0.00021005
زل,4223,0.00021
گر,4222,0.00020995
فع,4202,0.00020896
لټ,4189,0.00020831
دڅ,4179,0.00020782
یځ,4155,0.00020662
كې,4111,0.00020444
ضا,4104,0.00020409
خص,4087,0.00020324
نق,4041,0.00020096
وئ,4014,0.00019961
جی,3971,0.00019748
پړ,3942,0.00019603
ئی,3936,0.00019574
صد,3932,0.00019554
زړ,3928,0.00019534
ګی,3900,0.00019395
يګ,3898,0.00019385
نچ,3894,0.00019365
پس,3893,0.0001936
خن,3892,0.00019355
ګي,3870,0.00019245
۰۱,3864,0.00019216
غر,3863,0.00019211
ڼه,3854,0.00019166
ټل,3818,0.00018987
هص,3809,0.00018942
کپ,3804,0.00018917
ځپ,3801,0.00018902
طل,3798,0.00018887
لج,3796,0.00018878
ښن,3795,0.00018873
بپ,3790,0.00018848
مط,3789,0.00018843
تف,3772,0.00018758
ښي,3758,0.00018689
ئد,3746,0.00018629
اڅ,3743,0.00018614
شخ,3722,0.0001851
غت,3704,0.0001842
قب,3703,0.00018415
كه,3694,0.0001837
ضر,3674,0.00018271
کچ,3671,0.00018256
ټې,3615,0.00017978
آل,3613,0.00017968
وك,3610,0.00017953
ړد,3600,0.00017903
ړم,3581,0.00017809
پد,3572,0.00017764
زک,3553,0.00017669
هژ,3528,0.00017545
مص,3507,0.00017441
لز,3492,0.00017366
نښ,3481,0.00017311
یح,3475,0.00017282
اض,3465,0.00017232
نص,3454,0.00017177
حو,3454,0.00017177
ۍل,3445,0.00017132
طب,3435,0.00017083
فه,3427,0.00017043
قه,3422,0.00017018
فس,3409,0.00016953
حی,3403,0.00016924
ږی,3387,0.00016844
جد,3355,0.00016685
ټپ,3355,0.00016685
سع,3349,0.00016655
ېژ,3348,0.0001665
حب,3348,0.0001665
ئي,3332,0.00016571
ه۲,3325,0.00016536
ږو,3311,0.00016466
ېع,3306,0.00016441
لغ,3301,0.00016417
۳۹,3298,0.00016402
گه,3295,0.00016387
ېړ,3242,0.00016123
وص,3236,0.00016093
ىا,3234,0.00016083
ګڼ,3232,0.00016073
بح,3212,0.00015974
یګ,3212,0.00015974
ټن,3186,0.00015845
دژ,3179,0.0001581
مګ,3166,0.00015745
ضو,3152,0.00015676
جي,3149,0.00015661
ئا,3146,0.00015646
ضد,3139,0.00015611
سړ,3100,0.00015417
ثا,3093,0.00015382
بم,3072,0.00015278
عه,3065,0.00015243
گو,3060,0.00015218
شد,3052,0.00015179
ړش,3052,0.00015179
ېف,3049,0.00015164
دآ,3033,0.00015084
ئه,3017,0.00015005
لږ,3013,0.00014985
فد,2999,0.00014915
هط,2984,0.0001484
عک,2982,0.00014831
ځم,2981,0.00014826
كړ,2980,0.00014821
غم,2961,0.00014726
رك,2953,0.00014686
نى,2908,0.00014463
يژ,2894,0.00014393
پټ,2893,0.00014388
ۍو,2891,0.00014378
فق,2891,0.00014378
چن,2866,0.00014254
زب,2839,0.0001412
حص,2835,0.000141
نڅ,2832,0.00014085
گا,2821,0.0001403
يك,2819,0.0001402
اى,2801,0.00013931
ذا,2796,0.00013906
سس,2790,0.00013876
ثب,2774,0.00013796
ۍت,2772,0.00013786
مف,2748,0.00013667
ړخ,2743,0.00013642
بع,2735,0.00013603
حي,2727,0.00013563
لك,2717,0.00013513
شل,2715,0.00013503
بغ,2713,0.00013493
بخ,2703,0.00013443
یغ,2699,0.00013424
رژ,2671,0.00013284
اك,2660,0.0001323
صي,2659,0.00013225
۱۹,2648,0.0001317
شع,2646,0.0001316
څک,2620,0.00013031
رگ,2598,0.00012921
ۍس,2597,0.00012916
غي,2596,0.00012911
كي,2569,0.00012777
اؤ,2566,0.00012762
صی,2563,0.00012747
غږ,2560,0.00012732
اې,2556,0.00012713
آن,2544,0.00012653
ئې,2544,0.00012653
چل,2529,0.00012578
دص,2522,0.00012544
ډک,2507,0.00012469
كر,2507,0.00012469
هگ,2498,0.00012424
عش,2486,0.00012365
اث,2469,0.0001228
ثر,2468,0.00012275
٠٠,2458,0.00012225
عق,2452,0.00012196
شب,2443,0.00012151
هآ,2437,0.00012121
بډ,2428,0.00012076
یژ,2410,0.00011987
کډ,2409,0.00011982
لډ,2385,0.00011862
بب,2371,0.00011793
ۍم,2359,0.00011733
مغ,2353,0.00011703
ظم,2353,0.00011703
پت,2343,0.00011654
لړ,2343,0.00011654
دۍ,2336,0.00011619
ټم,2322,0.00011549
لط,2316,0.00011519
وگ,2316,0.00011519
ذه,2309,0.00011485
نغ,2309,0.00011485
خط,2297,0.00011425
ږه,2293,0.00011405
ګد,2281,0.00011345
۱۰,2270,0.00011291
ىو,2268,0.00011281
نك,2267,0.00011276
ېق,2235,0.00011117
ښم,2235,0.00011117
قع,2231,0.00011097
رص,2222,0.00011052
صن,2210,0.00010992
اء,2190,0.00010893
ږپ,2183,0.00010858
مث,2173,0.00010808
جب,2146,0.00010674
غز,2133,0.0001061
مذ,2132,0.00010605
ږم,2125,0.0001057
حض,2116,0.00010525
لښ,2113,0.0001051
ړچ,2098,0.00010436
لگ,2088,0.00010386
عس,2086,0.00010376
څی,2082,0.00010356
زپ,2067,0.00010281
شې,2062,0.00010257
ڼې,2057,0.00010232
ژا,2056,0.00010227
چم,2050,0.00010197
ژم,2029,0.00010093
طن,2024,0.00010068
هئ,2020,0.00010048
ږت,2017,0.00010033
جې,1987,9.884e-05
حه,1981,9.854e-05
قط,1971,9.804e-05
يط,1966,9.779e-05
يص,1953,9.715e-05
لځ,1952,9.71e-05
صف,1948,9.69e-05
رآ,1946,9.68e-05
زښ,1939,9.645e-05
اژ,1933,9.615e-05
رى,1932,9.61e-05
ړى,1929,9.595e-05
۰٪,1910,9.501e-05
سط,1906,9.481e-05
رط,1889,9.396e-05
طو,1888,9.392e-05
ږل,1882,9.362e-05
ىپ,1880,9.352e-05
زت,1874,9.322e-05
ژی,1872,9.312e-05
تچ,1868,9.292e-05
كل,1866,9.282e-05
ئچ,1865,9.277e-05
د۱,1860,9.252e-05
صح,1854,9.222e-05
ډر,1852,9.213e-05
د۲,1831,9.108e-05
کۍ,1818,9.044e-05
تڅ,1809,8.999e-05
لڅ,1808,8.994e-05
زش,1800,8.954e-05
فش,1781,8.86e-05
عظ,1778,8.845e-05
ټب,1777,8.84e-05
ګپ,1776,8.835e-05
ژي,1775,8.83e-05
ضی,1773,8.82e-05
ټد,1770,8.805e-05
تۍ,1768,8.795e-05
۱۵,1766,8.785e-05
یړ,1765,8.78e-05
نژ,1763,8.77e-05
ۍب,1761,8.76e-05
مځ,1758,8.745e-05
مټ,1753,8.72e-05
یط,1752,8.715e-05
ىن,1742,8.666e-05
ړپ,1730,8.606e-05
ښی,1727,8.591e-05
صب,1725,8.581e-05
۱۲,1723,8.571e-05
شئ,1717,8.541e-05
ۍن,1710,8.507e-05
ضي,1706,8.487e-05
يآ,1700,8.457e-05
ژه,1692,8.417e-05
پږ,1682,8.367e-05
آس,1677,8.342e-05
ګس,1677,8.342e-05
۱۱,1675,8.333e-05
ېط,1669,8.303e-05
ضع,1667,8.293e-05
۵۰,1666,8.288e-05
لص,1657,8.243e-05
آر,1656,8.238e-05
تغ,1651,8.213e-05
سئ,1646,8.188e-05
عز,1636,8.139e-05
ڼو,1628,8.099e-05
۳۰,1623,8.074e-05
غب,1611,8.014e-05
حث,1601,7.965e-05
هى,1597,7.945e-05
خش,1596,7.94e-05
ىل,1593,7.925e-05
۱۴,1573,7.825e-05
پژ,1568,7.801e-05
یص,1560,7.761e-05
آی,1549,7.706e-05
جز,1542,7.671e-05
ګک,1536,7.641e-05
بق,1535,7.637e-05
تښ,1525,7.587e-05
ږک,1515,7.537e-05
دئ,1514,7.532e-05
۱۸,1512,7.522e-05
ئل,1504,7.482e-05
ىب,1501,7.467e-05
یگ,1501,7.467e-05
ژر,1500,7.463e-05
قس,1497,7.448e-05
ګم,1493,7.428e-05
ثو,1484,7.383e-05
تى,1479,7.358e-05
وآ,1478,7.353e-05
ىچ,1464,7.284e-05
خم,1461,7.269e-05
۱۶,1430,7.114e-05
سج,1410,7.015e-05
۰م,1395,6.94e-05
