bigram,frequency,probability
ђи,15857,0.00014435
ћп,15850,0.00014428
нб,15575,0.00014178
хл,15390,0.0001401
гз,15349,0.00013972
сд,15114,0.00013758
цв,14933,0.00013594
бљ,14925,0.00013586
мф,14903,0.00013566
нч,14884,0.00013549
ћо,14857,0.00013524
мц,14703,0.00013384
шо,14687,0.0001337
љс,14604,0.00013294
вт,14537,0.00013233
ћс,14326,0.00013041
рђ,14318,0.00013034
тт,14058,0.00012797
шљ,14005,0.00012749
дз,13849,0.00012607
кд,13804,0.00012566
вп,13750,0.00012517
уљ,13640,0.00012417
рч,13559,0.00012343
пц,13053,0.00011882
њо,12714,0.00011574
гб,12682,0.00011545
нл,12464,0.00011346
зј,12386,0.00011275
јз,12286,0.00011184
жњ,12280,0.00011179
лб,12162,0.00011071
уђ,12127,0.00011039
рр,12118,0.00011031
цк,11664,0.00010618
хз,11609,0.00010568
јл,11449,0.00010422
пх,11293,0.0001028
ћј,11256,0.00010247
вш,11052,0.00010061
чј,10790,9.822e-05
тб,10772,9.806e-05
љк,10743,9.78e-05
фл,10736,9.773e-05
лд,10676,9.719e-05
зк,10632,9.679e-05
хб,10597,9.647e-05
вг,10595,9.645e-05
жд,10374,9.444e-05
хг,10346,9.418e-05
сб,10309,9.385e-05
јг,10271,9.35e-05
ћд,10231,9.314e-05
пк,10205,9.29e-05
ћк,10144,9.234e-05
јј,9909,9.02e-05
мч,9895,9.008e-05
кб,9761,8.886e-05
јч,9722,8.85e-05
лп,9716,8.845e-05
мш,9677,8.809e-05
тњ,9630,8.767e-05
цх,9489,8.638e-05
иђ,9415,8.571e-05
кз,9315,8.48e-05
сф,9271,8.44e-05
шп,9169,8.347e-05
хј,9131,8.312e-05
гј,8995,8.189e-05
љо,8859,8.065e-05
јџ,8818,8.027e-05
рњ,8741,7.957e-05
јр,8641,7.866e-05
тг,8605,7.834e-05
фт,8576,7.807e-05
гг,8517,7.753e-05
бс,8371,7.621e-05
лл,8367,7.617e-05
рф,8336,7.589e-05
мх,8324,7.578e-05
кг,8285,7.542e-05
бз,8237,7.499e-05
тљ,8187,7.453e-05
гч,8127,7.398e-05
пп,8073,7.349e-05
кш,7858,7.154e-05
нх,7819,7.118e-05
пј,7677,6.989e-05
ђо,7597,6.916e-05
нш,7434,6.768e-05
мњ,7300,6.646e-05
ћм,7259,6.608e-05
нђ,7131,6.492e-05
сз,6989,6.363e-05
јц,6914,6.294e-05
лг,6908,6.289e-05
шј,6771,6.164e-05
аџ,6646,6.05e-05
зт,6621,6.028e-05
уџ,6456,5.877e-05
шв,6448,5.87e-05
чв,6441,5.864e-05
мж,6427,5.851e-05
дљ,6394,5.821e-05
вз,6355,5.785e-05
њс,6286,5.723e-05
цм,6280,5.717e-05
гф,5984,5.448e-05
жј,5918,5.388e-05
лц,5828,5.306e-05
тф,5823,5.301e-05
дх,5786,5.268e-05
нж,5754,5.238e-05
